escenario,reduccion_sobrestock_pct,capital_liberado,ahorro_operativo_anual,impacto_total_referencial,capital_liberado_sobre_ventas_pct,ahorro_operativo_sobre_ventas_pct
Conservador,0.25,8595323.655000001,1031438.8386000001,9626762.493600002,0.009286285456069302,0.0011143542547283163
Moderado,0.4,13752517.848000003,1650302.1417600003,15402819.989760004,0.014858056729710885,0.001782966807565306
Agresivo,0.6,20628776.772000004,2475453.2126400005,23104229.984640002,0.022287085094566325,0.002674450211347959
