fuente,url,uso
UNACEM Peru - Reporte de Sostenibilidad 2024,https://unacem.pe/wp-content/uploads/2025/05/Reporte-UNACEM-Peru-2024-auditoria.pdf,Contexto operativo y sector cementero
Grupo UNACEM - Reporte Integrado 2024,https://grupounacem.com/wp-content/uploads/2025/04/Reporte-Integrado-2024.pdf,Contexto financiero y magnitudes empresariales
ASOCEM - Reportes estadisticos mensuales,https://www.asocem.org.pe/archivo/,Referencia sectorial de produccion y despacho
BCRPData,https://estadisticas.bcrp.gob.pe/estadisticas/series/,Contexto macroeconomico y sector construccion
MINEM - Produccion minera,https://www.gob.pe/institucion/minem/informes-publicaciones/5472883-produccion-minera,Referencia para narrativa industrial y minera
